web_scraper_order,web_scraper_start_url,pagination,smaak,€dag,eiwit,vet,data,kcal,lijn,vezels,textuur,shop,merk,merk2,fosfor,ca:p,intact,castraat,sensitive2,graanvrij2,bio2,ingr2,fosfor2,sensitive,graanvrij,bio,ingr
1773261189-517,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund,€ 2.22,30%,56%,14%,1.28,Pure Sensitive – Pur,1.5%,Paté,Poezenparadijs,Dr. Link,Dr. Link,86,1.18,4,4,3,J,N,1,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-518,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Wild,€ 2.84,36%,58%,6%,1.00,Pure Sensitive – Pur,1.8%,Paté,Poezenparadijs,Dr. Link,Dr. Link,190,1.26,2,2,2,J,N,1,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-519,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm,€ 1.88,25%,73%,2%,1.17,Pure Sensitive – Pur,1.7%,Paté,Dr.Link (DE),Dr. Link,Dr. Link,325,1.05,5,5,3,J,N,3,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-520,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kalkoen en haring,€ 2.07,40%,52%,8%,0.92,Adult,1.9%,Paté,Bol.com,Eden,Eden,NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-521,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Lam, eend, konijn, wild",€ 1.82,36%,54%,10%,1.05,Country Cuisine,1.7%,Paté,Bol.com,Eden,Eden,NB,NB,3,4,3,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-522,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en zalm,€ 2.11,40%,50%,10%,0.90,Original Cuisine,1.9%,Paté,Bol.com,Eden,Eden,NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-523,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kalkoen en kip,€ 2.89,36%,56%,8%,0.92,Kuipje Paté – Adult,2.0%,Paté,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,4,3,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-524,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 3.00,38%,58%,4%,0.88,Kuipje Paté – Adult,2.1%,Paté,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,3,3,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-525,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Lam en kip,€ 3.06,39%,59%,2%,0.86,Kuipje Paté – Adult,2.1%,Paté,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,3,3,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-526,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en kip,€ 3.00,38%,58%,4%,0.88,Kuipje Paté – Adult,2.1%,Paté,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,3,3,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-527,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kalkoen en kip,€ 3.29,33%,64%,4%,1.07,Kuipje Paté – Adult – BIO,1.8%,Paté,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,5,3,J,J,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-528,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 3.24,32%,63%,5%,1.09,Kuipje Paté – Adult – BIO,1.8%,Paté,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,5,3,J,J,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-529,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en kip,€ 2.87,33%,64%,4%,1.07,Kuipje Paté – Adult – BIO,1.8%,Paté,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,5,3,J,J,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-530,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kalkoen en kip,€ 3.91,40%,54%,6%,0.79,Stukjes in saus – Adult,1.1%,Saus,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,3,2,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-531,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 3.91,40%,54%,6%,0.79,Stukjes in saus – Adult,1.1%,Saus,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,3,2,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-532,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Lam en kip,€ 3.91,40%,54%,6%,0.79,Stukjes in saus – Adult,1.1%,Saus,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,3,2,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-533,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en kip,€ 3.91,40%,54%,6%,0.79,Stukjes in saus – Adult,1.1%,Saus,Medpets,Edgard en Cooper,Edgard en Cooper,NB,NB,4,3,2,J,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-534,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 3.25,41%,55%,4%,0.89,Balance,1.5%,Gelei,Green PetFood (UK of DE),FairCat (Green PetFoods),FairCat (Green PetFoods),NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-535,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en zalm,€ 3.32,41%,52%,7%,0.87,Beauty,1.5%,Gelei,Green PetFood (UK of DE),FairCat (Green PetFoods),FairCat (Green PetFoods),NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-536,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en zalm,€ 3.11,40%,60%,1%,0.93,Fit,1.5%,Gelei,Green PetFood (UK of DE),FairCat (Green PetFoods),FairCat (Green PetFoods),NB,NB,4,3,3,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-537,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 3.20,41%,56%,3%,0.90,Happy,1.5%,Gelei,Green PetFood (UK of DE),FairCat (Green PetFoods),FairCat (Green PetFoods),NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-538,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 3.27,41%,54%,5%,0.88,Sensitive,1.5%,Gelei,Green PetFood (UK of DE),FairCat (Green PetFoods),FairCat (Green PetFoods),NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-539,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Kabeljauw, garnalen en pompoen",€ 5.27,43%,50%,8%,1.03,N&D Ocean – Adult,2.8%,Paté,Farmina (DE),Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-540,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Tonijn en garnalen,€ 4.16,56%,35%,8%,0.96,N&D Ocean – Adult,1.6%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-541,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Tonijn en zalm,€ 4.41,58%,37%,5%,0.91,N&D Ocean – Adult,1.7%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,3,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-542,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Tonijn, inktvis en garnalen",€ 4.41,58%,37%,5%,0.91,N&D Ocean – Adult,1.7%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,3,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-543,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Tonijn, kabeljauw, garnaal en pompoen",€ 4.49,59%,38%,3%,0.89,N&D Ocean – Adult,2.9%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,3,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-544,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Tonijn, sardine en garnalen",€ 4.41,58%,37%,5%,0.91,N&D Ocean – Adult,1.7%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,3,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-545,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Zalm, kabeljauw en garnalen",€ 5.18,41%,49%,10%,1.05,N&D Ocean – Adult,1.6%,Paté,Farmina (DE),Farmina,Farmina,NB,NB,4,3,2,J,N,?,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773261189-546,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Zeebaars, sardine en garnalen",€ 5.18,41%,49%,10%,1.05,N&D Ocean – Adult,1.6%,Paté,Farmina (DE),Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-547,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en granaatappel,€ 4.12,50%,37%,13%,0.97,N&D Prime – Adult,2.8%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-548,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Lam en bosbessen,€ 3.57,36%,57%,7%,1.12,N&D Prime – Adult,2.8%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,4,3,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-549,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Wild zwijn en appel,€ 3.96,45%,42%,13%,1.01,N&D Prime – Adult,2.8%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-550,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Eend en pompoen,€ 4.17,47%,37%,16%,0.96,N&D Pumpkin,4.0%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-551,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Hert en pompoen,€ 4.24,48%,38%,14%,0.95,N&D Pumpkin,4.0%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-552,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Kip, pompoen en granaatappel",€ 4.17,47%,37%,16%,0.96,N&D Pumpkin,4.0%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-553,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kwartel en pompoen,€ 4.15,47%,37%,16%,0.97,N&D Pumpkin,4.0%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-554,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Lam, pompoen en bosbessen",€ 3.77,38%,52%,10%,1.06,N&D Pumpkin,4.0%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,4,3,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-555,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Wild zwijn, pompoen en appel",€ 4.00,44%,42%,14%,1.00,N&D Pumpkin,4.0%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-556,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Hert,€ 4.06,45%,46%,8%,0.99,N&D Quinoa – Skin & Coat,3.6%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,2,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-557,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kwartel,€ 3.98,44%,46%,10%,1.01,N&D Quinoa – Skin & Coat,3.6%,Paté,Poezenparadijs,Farmina,Farmina,NB,NB,4,3,2,J,N,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-558,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund en gevogelte,€ 0.99,37%,45%,18%,0.66,Blik – In gelei,0.3%,Gelei,PetsPlace,Felix (Purina),Felix (Purina),NB,NB,5,5,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-559,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en forel,€ 0.99,37%,45%,18%,0.66,Blik – In gelei,0.3%,Gelei,PetsPlace,Felix (Purina),Felix (Purina),NB,NB,5,5,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-560,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,"Rund, hart en gevogelte",€ 0.90,37%,55%,8%,0.85,Blik – Terrine,0.3%,Paté,Plein,Felix (Purina),Felix (Purina),NB,NB,4,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-561,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Haring en forel,€ 1.87,60%,32%,8%,0.67,Dubbel zo lekker – in gelei – Mix selectie,0.3%,Gelei,PetsPlace,Felix (Purina),Felix (Purina),NB,NB,5,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-562,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en nier,€ 1.87,60%,32%,8%,0.67,Dubbel zo lekker – in gelei – Mix selectie,0.3%,Gelei,PetsPlace,Felix (Purina),Felix (Purina),NB,NB,5,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
